r_mm,T_C
46.7,164.9938109235308
47.2219,164.9639340378239
47.7438,164.8796972520618
48.2658,164.7360832215188
48.7877,164.5390511795394
49.3096,164.2856876307836
49.8315,163.9734838038031
50.3535,163.6060944044188
50.8754,163.1821344893644
51.3973,162.7006974486671
51.9192,162.1632407654664
52.4412,161.569058656972
52.9631,160.9191152070933
53.485,160.2107551055497
54.0069,159.4480829247269
54.5288,158.6272834157507
55.0508,157.7502933431262
55.5727,156.8171767959892
56.0946,155.8275132634765
56.6165,154.7637627318217
57.1385,153.6235508831416
57.6604,152.4073498440214
58.1823,151.1092435977442
58.7042,149.7420912921746
59.2261,148.2956296777151
59.7481,146.7693464473392
60.27,145.1683278793293
60.7919,143.4893666182014
61.3138,141.7330328086385
61.8358,139.8997596994708
62.3577,137.9919363615101
62.8796,136.004482738628
63.4015,133.9395807299377
63.9235,131.8025328848917
64.4454,129.5850297605172
64.9673,127.2908835910987
65.4892,124.9194788626134
66.0111,122.5001919121414
66.5331,120.07787272978
67.055,117.6555411585726
67.5769,115.2331994146502
