firm_name,person_name,title,role_type,appointed_on,companies_house_number,firm_website
Balderton Capital,Christopher Carlyle Bowen Jr,Director,director,2025-11-12,16849588,https://www.balderton.com
Atomico,Lewis Browne,Partner / MD,llp-designated-member,2019-03-29,OC426649,https://www.atomico.com
Atomico,Lee Bradley Herod,Partner / MD,llp-designated-member,2019-03-29,OC426649,https://www.atomico.com
Octopus Ventures,Steven Anthony Sunley,Director,director,2022-06-21,14185317,https://www.octopusventures.com
Octopus Ventures,James Wood,Director,director,2022-06-21,14185317,https://www.octopusventures.com
Accel,Fabio Pinto,Director,director,2023-07-03,14977600,https://www.accel.com
Notion Capital,Stephen Charles Chandler,Director,director,2009-04-15,06877570,https://www.notioncapital.com
Notion Capital,"Ian Leathley, Me Milbourn",Director,director,2009-04-15,06877570,https://www.notioncapital.com
Notion Capital,Christopher Edward Tottman,Director,director,2009-06-22,06877570,https://www.notioncapital.com
Notion Capital,Jocelyn Christopher White,Director,director,2009-06-17,06877570,https://www.notioncapital.com
LocalGlobe,Robin Matthew Klein,Partner / MD,llp-designated-member,2015-07-24,OC400956,https://www.localglobe.vc
LocalGlobe,Saul Charles Klein,Partner / MD,llp-designated-member,2015-07-24,OC400956,https://www.localglobe.vc
Hoxton Ventures,Hussein Kanji,Partner / MD,llp-designated-member,2013-03-27,OC383815,https://www.hoxtonventures.com
Hoxton Ventures,Robert Bogan Ludwig,Partner / MD,llp-designated-member,2025-03-17,OC383815,https://www.hoxtonventures.com
Episode 1 Ventures,Damien John Patrick Lane,Partner / MD,llp-designated-member,2013-01-31,OC382081,https://www.episode1.com
Episode 1 Ventures,Adrian Eyre Lloyd,Partner / MD,llp-designated-member,2013-01-31,OC382081,https://www.episode1.com
Episode 1 Ventures,Hector Frederic Beckly Mason,Partner / MD,llp-designated-member,2022-10-01,OC382081,https://www.episode1.com
Episode 1 Ventures,Paul Anthony Mcnabb,Partner / MD,llp-designated-member,2015-12-01,OC382081,https://www.episode1.com
Episode 1 Ventures,"Simon Thomas, Dr Murdoch",Partner / MD,llp-designated-member,2013-01-31,OC382081,https://www.episode1.com
Episode 1 Ventures,"Adam, Dr Shuaib",Partner / MD,llp-designated-member,2025-04-01,OC382081,https://www.episode1.com
Seedcamp,Carlos Eduardo Espinal,Director,director,2010-11-30,06367351,https://www.seedcamp.com
Seedcamp,Saul Charles Klein,Director,director,2007-09-11,06367351,https://www.seedcamp.com
Seedcamp,Reshma Sohoni,Director,director,2015-07-03,06367351,https://www.seedcamp.com
Forward Partners,Franck Georges Debane,Director,director,2010-01-26,07136396,https://www.forwardpartners.com
Augmentum Fintech,Karen Mary Brade,Director,director,2018-02-12,11118262,https://www.augmentum.vc
Augmentum Fintech,Cornelia Dorrestijn,Director,director,2021-11-01,11118262,https://www.augmentum.vc
Augmentum Fintech,David John Haysey,Director,director,2018-02-12,11118262,https://www.augmentum.vc
Augmentum Fintech,William Reeve,Director,director,2024-11-01,11118262,https://www.augmentum.vc
Augmentum Fintech,"William Anthony Bowater, Sir Russell",Director,director,2022-04-01,11118262,https://www.augmentum.vc
Molten Ventures,Stuart Malcolm Chapman,Director,director,2015-11-20,09799594,https://www.moltenventures.com
Molten Ventures,Grahame David Cook,Director,director,2015-11-20,09799594,https://www.moltenventures.com
Molten Ventures,Sarah Felicity Gentleman,Director,director,2021-09-08,09799594,https://www.moltenventures.com
Molten Ventures,Laurence David Edgar Hollingworth,Director,director,2024-01-02,09799594,https://www.moltenventures.com
Molten Ventures,Lara Hennah Naqushbandi,Director,director,2023-09-11,09799594,https://www.moltenventures.com
Molten Ventures,Gervaise Slowey,Director,director,2021-07-23,09799594,https://www.moltenventures.com
Molten Ventures,Benjamin David Wilkinson,Director,director,2019-06-04,09799594,https://www.moltenventures.com
Molten Ventures,"Andrew Heinz, Mr Zimmermann",Director,director,2025-01-28,09799594,https://www.moltenventures.com
Kennet Partners,Michael Stafford Elias,Director,director,1997-02-20,03295094,https://www.kennet.com
Kennet Partners,Hillel Louis Zidel,Director,director,2013-12-20,03295094,https://www.kennet.com
MMC Ventures,Simon Jonathan Menashy,Director,director,2019-02-06,03946009,https://www.mmcventures.com
MMC Ventures,Ameerul Islam Miah,Director,director,2025-07-28,03946009,https://www.mmcventures.com
MMC Ventures,Oliver Owen Whitmore Richards,Director,director,2021-07-01,03946009,https://www.mmcventures.com
MMC Ventures,Mina Samaan,Director,director,2025-04-01,03946009,https://www.mmcventures.com
MMC Ventures,Anna Elizabeth Slemmings,Director,director,2025-07-28,03946009,https://www.mmcventures.com
Blossom Capital,Ophelia Brown,Director,director,2017-05-18,10776710,https://www.blossomcapital.com
Dawn Capital,Josh Carl Bell,Partner / MD,llp-designated-member,2008-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Norman Benito Fiore,Partner / MD,llp-designated-member,2006-11-02,OC321845,https://www.dawncapital.com
Dawn Capital,Haakon Overli,Partner / MD,llp-designated-member,2006-11-02,OC321845,https://www.dawncapital.com
Dawn Capital,Shamillah Bankiya,Partner,llp-member,2023-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Daniel Christopher Chaplin,Partner,llp-member,2023-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Adina Niculina Goga,Partner,llp-member,2024-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Alexandra Katherine Goodway,Partner,llp-member,2024-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Hannah Louise Gubbins,Partner,llp-member,2023-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Henry Charles Mason,Partner,llp-member,2023-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Evgenia Plotnikova,Partner,llp-member,2023-01-01,OC321845,https://www.dawncapital.com
Dawn Capital,Daniela Raffel Torrebiarte,Partner,llp-member,2024-01-01,OC321845,https://www.dawncapital.com
Frog Capital,Steven Michael Dunne,Director,director,2015-10-16,06812490,https://www.frogcapital.com
Frog Capital,Robert Michael Reid,Director,director,2009-02-06,06812490,https://www.frogcapital.com
