name,website,firm_type,hq_city,hq_country,sectors,stage_focus,description,bvca_member,profile_url,source,companies_house_number,incorporation_date,registered_address,status,directors_json
Balderton Capital,https://www.balderton.com,VC,London,UK,"SaaS, Fintech, Deep Tech","Series A, Series B","Focused on early stage, European technology businesses.",Yes,,seed,16849588,2025-11-12,"Whateleys Drive, Kenilworth, Warwickshire, CV8 2GY, England",active,"[{""name"": ""BOWEN JR, Christopher Carlyle"", ""role"": ""director"", ""appointed_on"": ""2025-11-12"", ""resigned_on"": """"}]"
Atomico,https://www.atomico.com,VC,London,UK,"Deep Tech, SaaS, Climate","Series A, Series B, Growth",,Yes,,seed,OC426649,2019-03-29,"Mornington Road, Chingford, E4 7DT, England",active,"[{""name"": ""BROWNE, Lewis"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2019-03-29"", ""resigned_on"": """"}, {""name"": ""HEROD, Lee Bradley"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2019-03-29"", ""resigned_on"": """"}]"
Index Ventures,https://www.indexventures.com,VC,London,UK,"Fintech, Gaming, Developer Tools","Seed, Series A, Growth",,Yes,,seed,03501217,1998-01-29,"Finsbury Square, London, EC2P 2YU",dissolved,"[{""name"": ""SAFE SOLUTIONS SECRETARIES LIMITED"", ""role"": ""corporate-secretary"", ""appointed_on"": ""1998-04-21"", ""resigned_on"": """"}, {""name"": ""SAFE SOLUTIONS DIRECTORS LIMITED"", ""role"": ""corporate-director"", ""appointed_on"": ""2003-03-10"", ""resigned_on"": """"}, {""name"": ""AUFRICHTIG, Jody"", ""role"": ""secretary"", ""appointed_on"": ""1998-02-25"", ""resigned_on"": ""1998-04-21""}, {""name"": ""1ST CONTACT SECRETARIES LIMITED"", ""role"": ""corporate-nominee-secretary"", ""appointed_on"": ""1998-01-29"", ""resigned_on"": ""1998-02-25""}, {""name"": ""FERGUSON, Nicholas Scott"", ""role"": ""director"", ""appointed_on"": ""1998-02-25"", ""resigned_on"": ""1998-04-21""}, {""name"": ""1ST CONTACT DIRECTORS LIMITED"", ""role"": ""corporate-nominee-director"", ""appointed_on"": ""1998-01-29"", ""resigned_on"": ""1998-02-25""}, {""name"": ""SAFE SOLUTIONS ACCOUNTING SERVICES LIMITED"", ""role"": ""corporate-director"", ""appointed_on"": ""1998-04-21"", ""resigned_on"": ""2002-01-14""}, {""name"": ""SAFE SOLUTIONS MANAGEMENT SERVICES LIMITED"", ""role"": ""corporate-director"", ""appointed_on"": ""2002-01-14"", ""resigned_on"": ""2003-03-10""}]"
Octopus Ventures,https://www.octopusventures.com,VC,London,UK,"Health Tech, B2B SaaS, Deep Tech","Seed, Series A, Series B",,Yes,,seed,14185317,2022-06-21,"Pinewood Business Park, Pattinson South Industrial Estate, Washington, NE38 8QR, United Kingdom",active,"[{""name"": ""SUNLEY, Steven Anthony"", ""role"": ""director"", ""appointed_on"": ""2022-06-21"", ""resigned_on"": """"}, {""name"": ""WOOD, James"", ""role"": ""director"", ""appointed_on"": ""2022-06-21"", ""resigned_on"": """"}]"
Accel,https://www.accel.com,VC,London,UK,"B2B SaaS, Security, Fintech","Series A, Series B, Growth",,No,,seed,14977600,2023-07-03,"Lyveden Road, London, SW17 9DU, England",dissolved,"[{""name"": ""PINTO, Fabio"", ""role"": ""director"", ""appointed_on"": ""2023-07-03"", ""resigned_on"": """"}]"
Notion Capital,https://www.notioncapital.com,VC,London,UK,"B2B SaaS, Cloud, RegTech","Series A, Series B","Venture fund focused on the technology sector.
Notion is a VC firm investing across Europe in enterprise technology founders who share our desire to build category-leading companies.",Yes,,seed,06877570,2009-04-15,"91 Wimpole Street, London, W1G 0EF, United Kingdom",active,"[{""name"": ""CHANDLER, Stephen Charles"", ""role"": ""director"", ""appointed_on"": ""2009-04-15"", ""resigned_on"": """"}, {""name"": ""MILBOURN, Ian Leathley, Me"", ""role"": ""director"", ""appointed_on"": ""2009-04-15"", ""resigned_on"": """"}, {""name"": ""TOTTMAN, Christopher Edward"", ""role"": ""director"", ""appointed_on"": ""2009-06-22"", ""resigned_on"": """"}, {""name"": ""WHITE, Jocelyn Christopher"", ""role"": ""director"", ""appointed_on"": ""2009-06-17"", ""resigned_on"": """"}, {""name"": ""WHITE, Benjamin Vincent St John"", ""role"": ""director"", ""appointed_on"": ""2009-06-17"", ""resigned_on"": ""2014-04-23""}]"
LocalGlobe,https://www.localglobe.vc,VC,London,UK,"Consumer Tech, Fintech, SaaS","Pre-Seed, Seed",,Yes,,seed,OC400956,2015-07-24,"High Road High Road, London, N12 0BP, England",active,"[{""name"": ""KLEIN, Robin Matthew"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2015-07-24"", ""resigned_on"": """"}, {""name"": ""KLEIN, Saul Charles"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2015-07-24"", ""resigned_on"": """"}, {""name"": ""BROWN, Ophelia"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2016-02-08"", ""resigned_on"": ""2017-04-07""}]"
Hoxton Ventures,https://www.hoxtonventures.com,VC,London,UK,"B2B SaaS, Consumer Tech","Seed, Series A",,Yes,,seed,OC383815,2013-03-27,"New Oxford Street, London, WC1A 1BS, England",active,"[{""name"": ""KANJI, Hussein"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2013-03-27"", ""resigned_on"": """"}, {""name"": ""LUDWIG, Robert Bogan"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2025-03-17"", ""resigned_on"": """"}, {""name"": ""KNIAZ, Robert Karol"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2013-03-27"", ""resigned_on"": ""2025-03-17""}]"
Passion Capital,https://www.passioncapital.com,VC,London,UK,"Fintech, SaaS, Consumer",Seed,,Yes,,seed,LP014323,2011-02-23,"57 Bermondsey Street, London, SE1 3XJ, England",active,
Episode 1 Ventures,https://www.episode1.com,VC,London,UK,"SaaS, Marketplaces, B2B",Seed,,Yes,,seed,OC382081,2013-01-31,"- 116 New Oxford Street, London, WC1A 1HH, England",active,"[{""name"": ""LANE, Damien John Patrick"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2013-01-31"", ""resigned_on"": """"}, {""name"": ""LLOYD, Adrian Eyre"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2013-01-31"", ""resigned_on"": """"}, {""name"": ""MASON, Hector Frederic Beckly"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2022-10-01"", ""resigned_on"": """"}, {""name"": ""MCNABB, Paul Anthony"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2015-12-01"", ""resigned_on"": """"}, {""name"": ""MURDOCH, Simon Thomas, Dr"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2013-01-31"", ""resigned_on"": """"}, {""name"": ""SHUAIB, Adam, Dr"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2025-04-01"", ""resigned_on"": """"}, {""name"": ""NAMIH, Carina"", ""role"": ""llp-designated-member"", ""appointed_on"": ""2018-11-15"", ""resigned_on"": ""2022-07-25""}]"
